NO2 (ug/m3),CO (ug/m3),O3 (ug/m3),NO (ug/m3),TEMP (C),HUM (%RH),PRES (hPa),Uptime (s),Date
42.7,840.6,-0.4,192.6,24.4,53.7,852.9,103751,2022-05-20T19:27:10.078Z
42.7,842.2,-1.2,194.5,24.4,55.4,852.9,103811,2022-05-20T19:28:10.078Z
43.3,836.5,-1.2,192.1,24.3,54.4,852.9,103871,2022-05-20T19:29:10.093Z
43.5,835.1,-1.6,194.2,24.3,55.4,852.9,103931,2022-05-20T19:30:10.104Z
43.5,838.8,-1.8,193.8,24.2,55.8,852.9,103991,2022-05-20T19:31:10.103Z
42.9,844.1,-3.2,191.7,24.1,53.9,852.9,104051,2022-05-20T19:32:10.111Z
42.9,846.2,-1,193.8,24.2,56,852.8,104111,2022-05-20T19:33:10.121Z
42.9,850.9,-1,193.7,24.2,55.8,852.8,104171,2022-05-20T19:34:10.135Z
42.9,854.4,-0.6,193.3,24.2,55,852.8,104231,2022-05-20T19:35:10.135Z
43.5,859,0.4,193,24.2,55.5,852.8,104291,2022-05-20T19:36:10.149Z
43.5,862,-0.4,192.8,24.2,55.7,852.8,104351,2022-05-20T19:37:10.164Z
44.2,858.6,0.6,192.5,24.2,56.1,852.8,104411,2022-05-20T19:38:10.173Z
44.2,862.4,0.6,192.7,24.2,56.3,852.8,104471,2022-05-20T19:39:10.185Z
43.5,867.5,-0.4,193,24.2,56.2,852.8,104531,2022-05-20T19:40:10.201Z
45,870.6,-4.6,191,24.2,54.9,852.8,104591,2022-05-20T19:41:10.223Z
45,870.6,-0.4,193,24.2,56.5,852.8,104651,2022-05-20T19:42:10.231Z
45.6,878.2,-3.6,190.5,24.3,53.2,852.8,104711,2022-05-20T19:43:10.228Z
45,876.8,-4,192.7,24.2,57,852.8,104771,2022-05-20T19:44:10.240Z
45,876.8,-2.8,192.5,24.2,57.1,852.8,104831,2022-05-20T19:45:10.251Z
45.6,881.1,-2.8,192.5,24.2,56,852.8,104890,2022-05-20T19:46:10.262Z
45,889.6,-4.4,190.6,24.2,54.4,852.8,104950,2022-05-20T19:47:10.268Z
44.2,891.1,-3.2,190.3,24.2,54.1,852.8,105010,2022-05-20T19:48:10.275Z
44.2,892.2,-3.2,190.5,24.2,53.8,852.8,105070,2022-05-20T19:49:10.283Z
45,895.8,-1.8,192,24.2,55,852.8,105130,2022-05-20T19:50:10.295Z
45.6,903.7,-1.2,189.5,24.2,54.9,852.8,105190,2022-05-20T19:51:10.309Z
45.6,907.5,-1.6,189.3,24.3,54.3,852.8,105250,2022-05-20T19:52:10.330Z
45.6,913.4,-0.6,189,24.3,54.2,852.8,105310,2022-05-20T19:53:10.337Z
46.3,926.8,0.6,188.8,24.3,54.4,852.8,105370,2022-05-20T19:54:10.340Z
48.4,939.9,2.1,190.3,24.2,55.3,852.8,105430,2022-05-20T19:55:10.349Z
49,950.4,1.5,190,24.2,56.7,852.7,105490,2022-05-20T19:56:10.356Z
48.4,958.7,1,188.1,24.2,54.4,852.8,105550,2022-05-20T19:57:10.356Z
48.4,959.5,0.8,188,24.1,53.4,852.8,105610,2022-05-20T19:58:10.370Z
48.4,960.2,1.2,188.5,24.1,53.4,852.7,105670,2022-05-20T19:59:10.375Z
46.9,961.3,-1.6,188.8,24.2,53.3,852.7,105730,2022-05-20T20:00:10.382Z
45.6,967.4,-1.8,189,24.2,52.9,852.7,105790,2022-05-20T20:01:10.385Z
46.3,964.4,1,188.5,24.2,54.1,852.7,105850,2022-05-20T20:02:10.395Z
45.6,965.6,-0.4,188,24.2,53.4,852.7,105910,2022-05-20T20:03:10.407Z
47.7,979.6,1.3,190.3,24.2,55.3,852.6,105970,2022-05-20T20:04:10.416Z
47.7,992.8,0.4,190.6,24.1,55.9,852.6,106030,2022-05-20T20:05:10.424Z
51.1,1007.4,2.9,188.6,24.1,53.6,852.6,106090,2022-05-20T20:06:10.442Z
53.8,1018.2,2.1,190.5,24.1,57.4,852.6,106150,2022-05-20T20:07:10.445Z
55.9,1029.8,-1.6,192.3,24.1,58.9,852.6,106210,2022-05-20T20:08:10.448Z
56.7,1027.9,-2.8,192.1,24.1,58.5,852.6,106270,2022-05-20T20:09:10.458Z
57.2,1021.9,1.6,189.8,24.1,57.9,852.6,106330,2022-05-20T20:10:10.469Z
56.1,1020.5,-0.6,191.1,24,57.2,852.6,106390,2022-05-20T20:11:10.475Z
55.5,1021.9,0,189,24,54.3,852.6,106450,2022-05-20T20:12:10.486Z
54.7,1008.5,0.2,190.5,24,56.4,852.6,106510,2022-05-20T20:13:10.489Z
56.1,1009.8,-0.8,192,24,58.1,852.6,106570,2022-05-20T20:14:10.509Z
56.1,1010.4,-2,192,23.9,58.5,852.6,106630,2022-05-20T20:15:10.517Z
55.5,1021.4,1.7,190.5,23.9,57.7,852.6,106689,2022-05-20T20:16:10.525Z
56.8,1028.9,1,193.5,23.8,60.4,852.6,106749,2022-05-20T20:17:10.537Z
56.8,1038.1,2.1,191.7,23.8,57.8,852.6,106809,2022-05-20T20:18:10.545Z
56.8,1044.5,1.7,192,23.7,55,852.6,106869,2022-05-20T20:19:10.552Z
56.8,1047.3,-1,194.1,23.8,58.3,852.5,106929,2022-05-20T20:20:10.562Z
57.4,1046.6,2.7,192,23.8,57.9,852.5,106989,2022-05-20T20:21:10.569Z
55.5,1035.9,-2.2,194.6,23.8,58.1,852.5,107049,2022-05-20T20:22:10.576Z
54.7,1020.5,2.5,192.2,23.8,56.8,852.5,107109,2022-05-20T20:23:10.586Z
53.2,1003.4,-0.8,193.7,23.7,58.1,852.5,107169,2022-05-20T20:24:10.593Z
53.2,997.7,1,193.7,23.7,58.5,852.5,107229,2022-05-20T20:25:10.597Z
52.4,994.4,1,193.7,23.8,58.3,852.4,107289,2022-05-20T20:26:10.610Z
52.4,994.6,1.8,193.8,23.8,58.1,852.4,107349,2022-05-20T20:27:10.617Z
52.4,999.9,1.8,194.2,23.8,58.1,852.4,107409,2022-05-20T20:28:10.626Z
53.2,1010.5,5.3,192.8,23.8,57.8,852.4,107469,2022-05-20T20:29:10.628Z
53.2,1022.7,1.4,195.1,23.8,58,852.4,107529,2022-05-20T20:30:10.631Z
53.2,1029.8,3.9,193.5,23.8,57.1,852.4,107589,2022-05-20T20:31:10.639Z
53.2,1033.4,3.3,193.8,23.9,56.9,852.4,107649,2022-05-20T20:32:10.652Z
52.4,1031.2,0.6,196.1,23.9,58.1,852.4,107709,2022-05-20T20:33:10.672Z
50.3,1023,4.3,193.8,23.9,57.4,852.4,107769,2022-05-20T20:34:10.689Z
49,999.9,6.9,192.7,23.9,56.4,852.4,107829,2022-05-20T20:35:10.690Z
46.9,981.8,7.7,192,23.9,55.5,852.3,107889,2022-05-20T20:36:10.700Z
46.9,963.9,10.2,191.6,23.9,56.4,852.3,107949,2022-05-20T20:37:10.713Z
46.9,958.5,9.8,190.8,24,55.1,852.3,108009,2022-05-20T20:38:10.718Z
46.9,956.3,10.2,190.5,24,55.5,852.3,108069,2022-05-20T20:39:10.728Z
46.3,949.8,9.8,190.3,24,55.6,852.3,108129,2022-05-20T20:40:10.729Z
45.6,942.1,10.4,189.7,24.1,55.5,852.3,108189,2022-05-20T20:41:10.742Z
46.3,940.5,12.4,189.5,24.1,55.7,852.3,108249,2022-05-20T20:42:10.750Z
45.6,938.4,11,189.7,24.1,56,852.3,108309,2022-05-20T20:43:10.756Z
45,932.6,11.8,189.5,24.1,55.5,852.3,108369,2022-05-20T20:44:10.769Z
44.2,931.4,12.2,187.3,24.1,53.5,852.3,108429,2022-05-20T20:45:10.789Z
43.5,928.6,12.2,187.7,24.1,53.8,852.3,108488,2022-05-20T20:46:10.804Z
44.2,919.5,14.6,187,24.2,54.6,852.3,108548,2022-05-20T20:47:10.801Z
45,913.1,15,186.5,24.2,54.7,852.3,108608,2022-05-20T20:48:10.809Z
45,909.8,12.6,186.5,24.3,52.3,852.3,108668,2022-05-20T20:49:10.812Z
45.6,900.1,12.6,186.2,24.3,54.8,852.3,108728,2022-05-20T20:50:10.826Z
46.3,903.5,12.4,186.8,24.3,54.4,852.3,108788,2022-05-20T20:51:10.835Z
45.6,899.4,10.4,186.5,24.4,52,852.3,108848,2022-05-20T20:52:10.841Z
45.6,895.4,11.8,186.8,24.4,54.4,852.3,108908,2022-05-20T20:53:10.854Z
45.6,883.6,11.8,185.3,24.5,53.3,852.3,108968,2022-05-20T20:54:10.856Z
44.2,865.3,11.8,184.6,24.5,53.7,852.3,109028,2022-05-20T20:55:10.867Z
42.9,851.2,12.2,184.3,24.5,52.4,852.3,109088,2022-05-20T20:56:10.887Z
42.1,832,14.2,183.6,24.5,51.6,852.4,109148,2022-05-20T20:57:10.890Z
41.5,817.4,16.2,182.6,24.5,53.2,852.4,109208,2022-05-20T20:58:10.897Z
41.5,802.4,15.4,181.7,24.6,52.8,852.4,109268,2022-05-20T20:59:10.911Z
40.8,782.6,16,181.4,24.5,53.1,852.4,109328,2022-05-20T21:00:10.917Z
40.8,764.3,17.6,180.7,24.5,53.9,852.4,109388,2022-05-20T21:01:10.933Z
40.2,748.5,18,180.1,24.5,53.7,852.4,109448,2022-05-20T21:02:10.946Z
40.2,732.6,19.8,179.2,24.5,54.4,852.4,109508,2022-05-20T21:03:10.948Z
39.4,724.7,19.2,179.1,24.4,53.7,852.4,109568,2022-05-20T21:04:10.959Z
40.2,720.1,19.8,178.6,24.5,52.5,852.4,109628,2022-05-20T21:05:10.964Z
40.2,710.5,18.8,178.4,24.5,53,852.4,109688,2022-05-20T21:06:10.973Z
40.2,708.2,18.8,178.2,24.5,52.8,852.4,109748,2022-05-20T21:07:10.982Z
40.8,696.5,19.8,177.7,24.5,53.7,852.4,109808,2022-05-20T21:08:10.990Z
40.8,685.3,19.6,177.6,24.5,54.4,852.4,109868,2022-05-20T21:09:11.000Z
40.2,671.3,19,177.4,24.5,54.5,852.4,109928,2022-05-20T21:10:10.999Z
40.2,653.6,19.8,177.1,24.5,54.5,852.4,109988,2022-05-20T21:11:11.003Z
40.2,645,20.8,176.7,24.5,54.8,852.4,110048,2022-05-20T21:12:11.028Z
40.8,638.9,21.2,178.6,24.4,55.3,852.4,110108,2022-05-20T21:13:11.050Z
42.1,655.4,22,179.1,24.4,55.4,852.4,110168,2022-05-20T21:14:11.059Z
42.9,663,21.6,177.4,24.4,54.7,852.4,110228,2022-05-20T21:15:11.046Z
43.5,676.8,21.6,179.1,24.4,55.1,852.4,110288,2022-05-20T21:16:11.068Z
43.5,698.5,22,179.6,24.4,55.5,852.4,110347,2022-05-20T21:17:11.073Z
44.2,709.7,22.2,179.6,24.4,55.2,852.4,110407,2022-05-20T21:18:11.096Z
43.5,721.4,22.6,180.2,24.3,55.8,852.4,110467,2022-05-20T21:19:11.096Z
43.5,718.8,24,180.1,24.3,55.8,852.4,110527,2022-05-20T21:20:11.108Z
42.9,710.3,24,179.9,24.3,56.2,852.4,110587,2022-05-20T21:21:11.117Z
42.1,690.7,24.4,179.1,24.2,55.6,852.4,110647,2022-05-20T21:22:11.117Z
42.1,682.6,25.8,179,24.2,55.9,852.4,110707,2022-05-20T21:23:11.110Z
42.9,697.2,26.6,179.1,24.2,55.9,852.4,110767,2022-05-20T21:24:11.131Z
42.9,707.5,25.8,179,24.2,56,852.4,110827,2022-05-20T21:25:11.136Z
42.9,703,25.8,178.6,24.2,55.9,852.3,110887,2022-05-20T21:26:11.141Z
42.1,692.4,25.2,178.1,24.2,55.7,852.3,110947,2022-05-20T21:27:11.151Z
42.1,682.8,25.8,177.6,24.2,56,852.3,111007,2022-05-20T21:28:11.167Z
42.1,680,25.2,177.4,24.2,55.5,852.3,111067,2022-05-20T21:29:11.167Z
42.1,675,23.4,177.6,24.2,55.5,852.4,111127,2022-05-20T21:30:11.169Z
42.1,674,21.6,177.2,24.3,55.1,852.4,111187,2022-05-20T21:31:11.176Z
42.1,677.1,19.8,175.4,24.3,54.3,852.4,111247,2022-05-20T21:32:11.195Z
43.5,692.8,19.8,176.9,24.3,56,852.4,111307,2022-05-20T21:33:11.204Z
44.2,720.1,19.6,176.9,24.4,55.6,852.4,111367,2022-05-20T21:34:11.218Z
45,740.6,17.6,175.4,24.4,52.7,852.3,111427,2022-05-20T21:35:11.216Z
45,750.6,16.6,175.6,24.4,54.8,852.4,111487,2022-05-20T21:36:11.222Z
44.2,756.7,17.2,175.6,24.4,54.9,852.3,111547,2022-05-20T21:37:11.234Z
44.2,772.9,20,175.9,24.5,54.8,852.4,111607,2022-05-20T21:38:11.237Z
45,786.2,21.4,176.1,24.5,54.6,852.4,111667,2022-05-20T21:39:11.246Z
46.9,802.6,21.6,177.6,24.5,55,852.4,111727,2022-05-20T21:40:11.242Z
46.3,815.3,18.8,176,24.5,53.7,852.4,111787,2022-05-20T21:41:11.253Z
46.9,841.4,21.4,176.5,24.4,54.5,852.4,111847,2022-05-20T21:42:11.256Z
46.9,858.5,21.6,176.5,24.4,53.2,852.4,111907,2022-05-20T21:43:11.269Z
46.9,878.9,21.6,176.9,24.4,53.6,852.4,111967,2022-05-20T21:44:11.281Z
48.4,912.4,23.2,179.2,24.4,NaN,852.4,112027,2022-05-20T21:45:11.288Z
47.7,934.6,22.4,179.4,24.3,56,852.4,112086,2022-05-20T21:46:11.302Z
49,972,24.8,180.2,24.2,56.5,852.4,112146,2022-05-20T21:47:11.298Z
50.3,1018.3,24.4,181.7,24.1,56.4,852.4,112206,2022-05-20T21:48:11.307Z
51.7,1066.8,23.2,182.8,24.1,56.5,852.4,112266,2022-05-20T21:49:11.315Z
52.4,1095.2,22.4,183,24,55.4,852.4,112326,2022-05-20T21:50:11.320Z
53.2,1125.1,21,183.5,24,56.7,852.4,112386,2022-05-20T21:51:11.320Z
53.2,1151.9,19,184.6,23.9,56,852.3,112446,2022-05-20T21:52:11.344Z
53.2,1169.4,18.6,182.8,23.9,54.9,852.4,112506,2022-05-20T21:53:11.359Z
53.2,1181.8,18,184.8,23.8,55.3,852.4,112566,2022-05-20T21:54:11.376Z
52.4,1210.1,17.6,186.2,23.8,56.4,852.3,112626,2022-05-20T21:55:11.372Z
53.2,1237.5,18,187,23.8,57,852.3,112686,2022-05-20T21:56:11.385Z
53.2,1262.1,16.2,187.5,23.7,57.3,852.3,112746,2022-05-20T21:57:11.396Z
